기준일자,상품명,당일신규실행건수,당일신규실행금액(억원)
2019-05-06,취업후상환학자금_생활비,0,0
2019-05-07,취업후상환학자금_등록금,0,0
2019-05-07,일반상환학자금_생활비,0,0
2019-05-07,일반상환학자금_등록금,0,0
2019-05-07,취업후상환학자금_생활비,0,0
2019-05-08,취업후상환학자금_생활비,3376,33
2019-05-08,취업후상환학자금_등록금,479,10
2019-05-08,일반상환학자금_등록금,12,0
2019-05-08,일반상환학자금_생활비,1404,14
2019-05-09,취업후상환학자금_등록금,658,14
2019-05-09,일반상환학자금_생활비,1522,15
2019-05-09,일반상환학자금_등록금,29,0
2019-05-09,취업후상환학자금_생활비,3665,36
2019-05-10,일반상환학자금_등록금,31,0
2019-05-10,일반상환학자금_생활비,983,10
2019-05-10,취업후상환학자금_등록금,431,8
2019-05-10,취업후상환학자금_생활비,2203,22
2019-05-11,취업후상환학자금_생활비,0,0
2019-05-11,일반상환학자금_등록금,0,0
2019-05-11,일반상환학자금_생활비,0,0
2019-05-11,취업후상환학자금_등록금,0,0
2019-05-12,취업후상환학자금_등록금,0,0
2019-05-12,일반상환학자금_생활비,0,0
2019-05-12,일반상환학자금_등록금,0,0
2019-05-12,취업후상환학자금_생활비,0,0
2019-05-13,취업후상환학자금_생활비,0,0
2019-05-13,취업후상환학자금_등록금,0,0
2019-05-13,일반상환학자금_등록금,0,0
2019-05-13,일반상환학자금_생활비,0,0
2019-05-14,일반상환학자금_등록금,0,0
2019-05-14,일반상환학자금_생활비,7,0
2019-05-14,취업후상환학자금_생활비,3,0
2019-05-14,취업후상환학자금_등록금,0,0
2019-05-15,일반상환학자금_생활비,0,0
2019-05-15,취업후상환학자금_생활비,1,0
2019-05-15,취업후상환학자금_등록금,1,0
2019-05-15,일반상환학자금_등록금,0,0
2019-05-16,취업후상환학자금_생활비,0,0
2019-05-16,취업후상환학자금_등록금,0,0
2019-05-16,일반상환학자금_생활비,0,0
2019-05-16,일반상환학자금_등록금,0,0
2019-05-17,일반상환학자금_등록금,0,0
2019-05-17,취업후상환학자금_생활비,0,0
2019-05-17,취업후상환학자금_등록금,0,0
2019-05-17,일반상환학자금_생활비,0,0
2019-05-18,일반상환학자금_등록금,0,0
2019-05-18,일반상환학자금_생활비,0,0
2019-05-18,취업후상환학자금_등록금,0,0
2019-05-18,취업후상환학자금_생활비,0,0
2019-05-19,취업후상환학자금_생활비,0,0
2019-05-19,취업후상환학자금_등록금,0,0
2019-05-19,일반상환학자금_생활비,0,0
2019-05-19,일반상환학자금_등록금,0,0
2019-05-20,취업후상환학자금_생활비,0,0
2019-05-20,취업후상환학자금_등록금,0,0
2019-05-20,일반상환학자금_생활비,0,0
2019-05-20,일반상환학자금_등록금,0,0
2019-05-21,취업후상환학자금_등록금,0,0
2019-05-21,취업후상환학자금_생활비,0,0
2019-05-21,일반상환학자금_생활비,0,0
2019-05-21,일반상환학자금_등록금,0,0
2019-05-22,취업후상환학자금_생활비,0,0
2019-05-22,취업후상환학자금_등록금,0,0
2019-05-22,일반상환학자금_생활비,0,0
2019-05-22,일반상환학자금_등록금,0,0
2019-05-23,일반상환학자금_생활비,0,0
2019-05-23,일반상환학자금_등록금,0,0
2019-05-23,취업후상환학자금_등록금,0,0
2019-05-23,취업후상환학자금_생활비,0,0
