"구분별","상태별","시점","인원[명]",
"여성","신규","2020. 04. 15","17",
"여성","신규","2020. 04. 16","16",
"여성","신규","2020. 04. 17","8",
"여성","신규","2020. 04. 18","11",
"여성","신규","2020. 04. 19","4",
"여성","신규","2020. 04. 20","8",
"여성","신규","2020. 04. 21","3",
"여성","신규","2020. 04. 22","5",
"여성","신규","2020. 04. 23","4",
"여성","신규","2020. 04. 24","1",
"여성","신규","2020. 04. 25","6",
"여성","신규","2020. 04. 26","4",
"여성","신규","2020. 04. 27","6",
"여성","신규","2020. 04. 28","7",
"여성","신규","2020. 04. 29","5",
"여성","신규","2020. 04. 30","0",
"여성","신규","2020. 05. 01","5",
"여성","신규","2020. 05. 02","0",
"여성","신규","2020. 05. 03","6",
"여성","신규","2020. 05. 04","2",
"여성","신규","2020. 05. 05","1",
"여성","신규","2020. 05. 06","0",
"여성","신규","2020. 05. 07","1",
"여성","신규","2020. 05. 08","5",
"여성","신규","2020. 05. 09","1",
"여성","신규","2020. 05. 10","10",
"여성","신규","2020. 05. 11","4",
"여성","신규","2020. 05. 12","7",
"여성","신규","2020. 05. 13","8",
"여성","신규","2020. 05. 14","12",
"여성","신규","2020. 05. 15","11",
"여성","신규","2020. 05. 16","7",
"여성","신규","2020. 05. 17","8",
"여성","신규","2020. 05. 18","4",
"여성","신규","2020. 05. 19","4",
"여성","신규","2020. 05. 20","9",
"여성","신규","2020. 05. 21","3",
"여성","신규","2020. 05. 23","",
"여성","신규","2020. 05. 24","10",
"여성","신규","2020. 05. 25","8",
"여성","신규","2020. 05. 26","6",
"여성","신규","2020. 05. 27","24",
"여성","신규","2020. 05. 28","32",
"여성","신규","2020. 05. 29","26",
"여성","신규","2020. 05. 30","18",
"여성","신규","2020. 05. 31","12",
"여성","신규","2020. 06. 02","",
"여성","신규","2020. 06. 03","26",
"여성","신규","2020. 06. 04","19",
"여성","신규","2020. 06. 05","18",
"여성","신규","2020. 06. 06","24",
"여성","신규","2020. 06. 07","27",
"여성","신규","2020. 06. 08","26",
"여성","신규","2020. 06. 09","20",
"여성","신규","2020. 06. 10","28",
"여성","신규","2020. 06. 11","17",
"여성","신규","2020. 06. 12","0",
"여성","신규","2020. 06. 13","53",
"여성","신규","2020. 06. 14","18",
"여성","신규","2020. 06. 16","",
"여성","신규","2020. 06. 17","25",
"여성","신규","2020. 06. 18","34",
"여성","신규","2020. 06. 19","24",
"여성","신규","2020. 06. 20","28",
"여성","신규","2020. 06. 21","23",
"여성","신규","2020. 06. 22","8",
"여성","신규","2020. 06. 23","11",
"여성","신규","2020. 06. 24","20",
"여성","신규","2020. 06. 25","13",
"여성","신규","2020. 06. 26","15",
"여성","신규","2020. 06. 27","23",
"여성","신규","2020. 06. 28","24",
"여성","신규","2020. 06. 29","22",
"여성","신규","2020. 06. 30","18",
"여성","신규","2020. 07. 01","0",
"여성","신규","2020. 07. 02","44",
"여성","신규","2020. 07. 03","31",
